ConfigID,avg_f1,n_images,target,combo_index
903,0.24027777777777778,1440,manbo,150
904,0.8535881944444443,1440,manbo,150
905,0.5101854166666667,1440,manbo,150
906,0.11782430555555555,1440,manbo,150
907,0.7414354166666666,1440,manbo,151
908,0.1642361111111111,1440,manbo,151
909,0.44513888888888886,1440,manbo,151
910,0.0008104166666666666,1440,manbo,151
911,0.6473381944444445,1440,manbo,151
912,0.7557875000000001,1440,manbo,151
913,0.6236111111111111,1440,manbo,152
914,0.9810187499999999,1440,manbo,152
915,0.4853006944444444,1440,manbo,152
916,0.5267361111111111,1440,manbo,152
917,0.9993055555555556,1440,manbo,152
918,0.50648125,1440,manbo,152
919,0.0009263888888888889,1440,manbo,153
920,0.00034722222222222224,1440,manbo,153
921,0.6082173611111111,1440,manbo,153
922,0.0006944444444444445,1440,manbo,153
923,0.4695604166666667,1440,manbo,153
924,0.024189583333333334,1440,manbo,153
925,0.00023125,1440,manbo,154
926,0.7717597222222222,1440,manbo,154
927,0.6445604166666666,1440,manbo,154
928,0.41689861111111115,1440,manbo,154
929,0.0005784722222222222,1440,manbo,154
930,0.5211805555555555,1440,manbo,154
931,0.5907402777777777,1440,manbo,155
932,0.99976875,1440,manbo,155
933,0.6699076388888889,1440,manbo,155
934,0.5870375,1440,manbo,155
935,0.3855326388888889,1440,manbo,155
936,0.99976875,1440,manbo,155
937,0.9991895833333334,1440,manbo,156
938,0.5057875000000001,1440,manbo,156
939,0.99976875,1440,manbo,156
940,0.9993055555555556,1440,manbo,156
941,0.2708333333333333,1440,manbo,156
942,0.6576388888888889,1440,manbo,156
943,0.39791666666666664,1440,manbo,157
944,0.5013895833333334,1440,manbo,157
945,0.0006944444444444445,1440,manbo,157
946,0.010300694444444444,1440,manbo,157
947,0.9993055555555556,1440,manbo,157
948,0.9994215277777777,1440,manbo,157
949,0.99976875,1440,manbo,158
950,0.9047458333333332,1440,manbo,158
951,0.0008104166666666666,1440,manbo,158
952,0.21122708333333334,1440,manbo,158
953,0.8107638888888888,1440,manbo,158
954,0.0006944444444444445,1440,manbo,158
955,0.5244215277777778,1440,manbo,159
956,0.8212965277777777,1440,manbo,159
957,0.0008104166666666666,1440,manbo,159
958,0.8317125,1440,manbo,159
959,0.09120416666666667,1440,manbo,159
960,0.48240694444444443,1440,manbo,159
961,0.9328708333333334,1440,manbo,160
962,0.9994215277777777,1440,manbo,160
963,0.5744208333333333,1440,manbo,160
964,0.47592569444444444,1440,manbo,160
965,0.9309027777777777,1440,manbo,160
966,0.00046319444444444446,1440,manbo,160
967,0.6604166666666667,1440,manbo,161
968,0.9994215277777777,1440,manbo,161
969,0.9990736111111113,1440,manbo,161
970,0.2170138888888889,1440,manbo,161
971,0.04386597222222222,1440,manbo,161
972,0.9570604166666666,1440,manbo,161
973,0.0008104166666666666,1440,panmao,0
974,0.23472222222222222,1440,panmao,0
975,0.9995368055555556,1440,panmao,0
976,0.9994215277777777,1440,panmao,0
977,0.9993055555555556,1440,panmao,0
978,0.5479166666666667,1440,panmao,0
979,0.34178263888888893,1440,panmao,1
980,0.24143472222222226,1440,panmao,1
981,0.21354166666666666,1440,panmao,1
982,0.9991895833333334,1440,panmao,1
983,0.49814791666666663,1440,panmao,1
984,0.8900465277777777,1440,panmao,1
985,0.99976875,1440,panmao,2
986,0.9991895833333334,1440,panmao,2
987,0.9996527777777777,1440,panmao,2
988,0.09594930555555556,1440,panmao,2
989,0.41944444444444445,1440,panmao,2
990,0.71875,1440,panmao,2
991,0.0004625,1440,panmao,3
992,0.0008104166666666666,1440,panmao,3
993,0.6339118055555555,1440,panmao,3
994,0.6059027777777778,1440,panmao,3
995,0.9993055555555556,1440,panmao,3
996,0.9993055555555556,1440,panmao,3
997,0.7483791666666668,1440,panmao,4
998,0.3236111111111111,1440,panmao,4
999,0.6258104166666667,1440,panmao,4
1000,0.36747708333333334,1440,panmao,4
1001,0.49988472222222224,1440,panmao,4
1002,0.5072916666666667,1440,panmao,4
1003,1.0,1440,panmao,5
1004,0.38506944444444446,1440,panmao,5
1005,0.11793958333333333,1440,panmao,5
1006,0.6459493055555555,1440,panmao,5
1007,0.8053243055555555,1440,panmao,5
1008,0.6681715277777778,1440,panmao,5
1009,0.9993055555555556,1440,panmao,6
1010,0.9990743055555555,1440,panmao,6
1011,0.571875,1440,panmao,6
1012,0.3775458333333333,1440,panmao,6
1013,0.5261569444444444,1440,panmao,6
1014,0.9996527777777777,1440,panmao,6
1015,1.0,1440,panmao,7
1016,0.9993055555555556,1440,panmao,7
1017,0.7311340277777778,1440,panmao,7
1018,0.6560180555555555,1440,panmao,7
1019,0.3784722222222222,1440,panmao,7
1020,0.992245138888889,1440,panmao,7
1021,0.00046319444444444446,1440,panmao,8
1022,0.9033569444444445,1440,panmao,8
1023,0.4509256944444444,1440,panmao,8
1024,0.07615694444444444,1440,panmao,8
1025,0.8379631944444443,1440,panmao,8
1026,0.45,1440,panmao,8
1027,0.0008104166666666666,1440,panmao,9
1028,0.46273125,1440,panmao,9
1029,0.9991895833333334,1440,panmao,9
1030,0.5756944444444444,1440,panmao,9
1031,0.9991902777777777,1440,panmao,9
1032,0.8677083333333333,1440,panmao,9
1033,0.6993055555555555,1440,panmao,10
1034,0.5618055555555556,1440,panmao,10
1035,0.9990736111111113,1440,panmao,10
1036,0.7398145833333334,1440,panmao,10
1037,0.0006944444444444445,1440,panmao,10
1038,0.5166666666666667,1440,panmao,10
1039,0.11967569444444444,1440,panmao,11
1040,0.9993055555555556,1440,panmao,11
1041,0.8708333333333333,1440,panmao,11
1042,0.29259305555555554,1440,panmao,11
1043,0.9993055555555556,1440,panmao,11
1044,0.19108819444444441,1440,panmao,11
1045,0.4349534722222222,1440,panmao,12
1046,0.7258104166666666,1440,panmao,12
1047,0.9379631944444444,1440,panmao,12
1048,0.07268472222222222,1440,panmao,12
1049,0.9991895833333334,1440,panmao,12
1050,0.10196736111111111,1440,panmao,12
1051,0.04120347222222222,1440,panmao,13
1052,0.6541666666666667,1440,panmao,13
1053,0.43935208333333337,1440,panmao,13
1054,0.5987270833333334,1440,panmao,13
1055,0.9991902777777777,1440,panmao,13
1056,0.9994215277777777,1440,panmao,13
1057,0.7030090277777777,1440,panmao,14
1058,0.0008104166666666666,1440,panmao,14
1059,0.48055555555555557,1440,panmao,14
1060,0.9993055555555556,1440,panmao,14
1061,0.999073611111111,1440,panmao,14
1062,0.6539354166666667,1440,panmao,14
1063,0.9996527777777777,1440,panmao,15
1064,0.5736118055555556,1440,panmao,15
1065,0.9994215277777777,1440,panmao,15
1066,0.9991895833333334,1440,panmao,15
1067,0.4215277777777778,1440,panmao,15
1068,0.5440972222222222,1440,panmao,15
1069,0.648032638888889,1440,panmao,16
1070,0.9990736111111113,1440,panmao,16
1071,0.6025465277777778,1440,panmao,16
1072,0.9731479166666668,1440,panmao,16
1073,0.9994215277777777,1440,panmao,16
1074,0.1609951388888889,1440,panmao,16
1075,0.6383104166666667,1440,panmao,17
1076,0.35,1440,panmao,17
1077,0.47939791666666665,1440,panmao,17
1078,0.6842590277777778,1440,panmao,17
1079,0.46226875,1440,panmao,17
1080,0.45324097222222226,1440,panmao,17
1081,0.4332173611111111,1440,panmao,18
1082,0.3951388888888889,1440,panmao,18
1083,0.16747708333333333,1440,panmao,18
1084,0.4320604166666666,1440,panmao,18
1085,0.5041666666666667,1440,panmao,18
1086,0.6401618055555556,1440,panmao,18
1087,0.6487270833333334,1440,panmao,19
1088,0.3542819444444445,1440,panmao,19
1089,0.20023194444444445,1440,panmao,19
1090,0.4188659722222222,1440,panmao,19
1091,0.5084493055555556,1440,panmao,19
1092,0.6026618055555555,1440,panmao,19
1093,0.4513888888888889,1440,panmao,20
1094,0.5665506944444444,1440,panmao,20
1095,0.29097222222222224,1440,panmao,20
1096,0.00034722222222222224,1440,panmao,20
1097,0.34444444444444444,1440,panmao,20
1098,0.5616895833333333,1440,panmao,20
1099,0.0005784722222222222,1440,panmao,21
1100,0.5337965277777778,1440,panmao,21
1101,0.0005784722222222222,1440,panmao,21
1102,0.5833333333333334,1440,panmao,21
1103,0.7180555555555556,1440,panmao,21
1104,0.008448611111111112,1440,panmao,21
1105,0.5354166666666667,1440,panmao,22
1106,0.6693284722222222,1440,panmao,22
1107,0.5854166666666667,1440,panmao,22
1108,0.5182875,1440,panmao,22
1109,0.38472222222222224,1440,panmao,22
