ConfigID,name,index,minTemperature,maxTemperature,hFOVPixels,vFOVPixels,hFOVDeg,vFOVDeg,senSim_percentBlur,senSim_percentNoise,trackFilePath
1067,Mid-wave Infarared - MWIR,0,20,60,640,512,20,16,0.0,1.0,E:\track.trk
1068,Mid-wave Infarared - MWIR,0,20,60,640,512,20,16,0.0,1.0,E:\track.trk
1069,Mid-wave Infarared - MWIR,0,20,60,640,512,20,16,0.5,1.0,E:\track.trk
1070,Mid-wave Infarared - MWIR,0,20,60,640,512,20,16,0.5,1.0,E:\track.trk
1071,Mid-wave Infarared - MWIR,0,20,60,640,512,20,16,0.5,1.0,E:\track.trk
1072,Mid-wave Infarared - MWIR,0,20,60,640,512,20,16,0.5,1.0,E:\track.trk
1073,Mid-wave Infarared - MWIR,0,20,60,640,512,20,16,0.5,1.0,E:\track.trk
1074,Mid-wave Infarared - MWIR,0,20,60,640,512,20,16,0.5,1.0,E:\track.trk
1075,Mid-wave Infarared - MWIR,0,20,60,640,512,20,16,1.0,1.0,E:\track.trk
1076,Mid-wave Infarared - MWIR,0,20,60,640,512,20,16,1.0,1.0,E:\track.trk
1077,Mid-wave Infarared - MWIR,0,20,60,640,512,20,16,1.0,1.0,E:\track.trk
1078,Mid-wave Infarared - MWIR,0,20,60,640,512,20,16,1.0,1.0,E:\track.trk
1079,Mid-wave Infarared - MWIR,0,20,60,640,512,20,16,1.0,1.0,E:\track.trk
1080,Mid-wave Infarared - MWIR,0,20,60,640,512,20,16,1.0,1.0,E:\track.trk
1081,Mid-wave Infarared - MWIR,0,20,60,1024,1024,32,32,0.0,0.0,E:\track.trk
1082,Mid-wave Infarared - MWIR,0,20,60,1024,1024,32,32,0.0,0.0,E:\track.trk
1083,Mid-wave Infarared - MWIR,0,20,60,1024,1024,32,32,0.0,0.0,E:\track.trk
1084,Mid-wave Infarared - MWIR,0,20,60,1024,1024,32,32,0.0,0.0,E:\track.trk
1085,Mid-wave Infarared - MWIR,0,20,60,1024,1024,32,32,0.0,0.0,E:\track.trk
1086,Mid-wave Infarared - MWIR,0,20,60,1024,1024,32,32,0.0,0.0,E:\track.trk
1087,Mid-wave Infarared - MWIR,0,20,60,1024,1024,32,32,0.5,0.0,E:\track.trk
1088,Mid-wave Infarared - MWIR,0,20,60,1024,1024,32,32,0.5,0.0,E:\track.trk
1089,Mid-wave Infarared - MWIR,0,20,60,1024,1024,32,32,0.5,0.0,E:\track.trk
1090,Mid-wave Infarared - MWIR,0,20,60,1024,1024,32,32,0.5,0.0,E:\track.trk
1091,Mid-wave Infarared - MWIR,0,20,60,1024,1024,32,32,0.5,0.0,E:\track.trk
1092,Mid-wave Infarared - MWIR,0,20,60,1024,1024,32,32,0.5,0.0,E:\track.trk
1093,Mid-wave Infarared - MWIR,0,20,60,1024,1024,32,32,1.0,0.0,E:\track.trk
1094,Mid-wave Infarared - MWIR,0,20,60,1024,1024,32,32,1.0,0.0,E:\track.trk
1095,Mid-wave Infarared - MWIR,0,20,60,1024,1024,32,32,1.0,0.0,E:\track.trk
1096,Mid-wave Infarared - MWIR,0,20,60,1024,1024,32,32,1.0,0.0,E:\track.trk
1097,Mid-wave Infarared - MWIR,0,20,60,1024,1024,32,32,1.0,0.0,E:\track.trk
1098,Mid-wave Infarared - MWIR,0,20,60,1024,1024,32,32,1.0,0.0,E:\track.trk
1099,Mid-wave Infarared - MWIR,0,20,60,1024,1024,32,32,0.0,0.5,E:\track.trk
1100,Mid-wave Infarared - MWIR,0,20,60,1024,1024,32,32,0.0,0.5,E:\track.trk
1101,Mid-wave Infarared - MWIR,0,20,60,1024,1024,32,32,0.0,0.5,E:\track.trk
1102,Mid-wave Infarared - MWIR,0,20,60,1024,1024,32,32,0.0,0.5,E:\track.trk
1103,Mid-wave Infarared - MWIR,0,20,60,1024,1024,32,32,0.0,0.5,E:\track.trk
1104,Mid-wave Infarared - MWIR,0,20,60,1024,1024,32,32,0.0,0.5,E:\track.trk
1105,Mid-wave Infarared - MWIR,0,20,60,1024,1024,32,32,0.5,0.5,E:\track.trk
1106,Mid-wave Infarared - MWIR,0,20,60,1024,1024,32,32,0.5,0.5,E:\track.trk
1107,Mid-wave Infarared - MWIR,0,20,60,1024,1024,32,32,0.5,0.5,E:\track.trk
1108,Mid-wave Infarared - MWIR,0,20,60,1024,1024,32,32,0.5,0.5,E:\track.trk
1109,Mid-wave Infarared - MWIR,0,20,60,1024,1024,32,32,0.5,0.5,E:\track.trk
1110,Mid-wave Infarared - MWIR,0,20,60,1024,1024,32,32,0.5,0.5,E:\track.trk
1111,Mid-wave Infarared - MWIR,0,20,60,1024,1024,32,32,1.0,0.5,E:\track.trk
1112,Mid-wave Infarared - MWIR,0,20,60,1024,1024,32,32,1.0,0.5,E:\track.trk
1113,Mid-wave Infarared - MWIR,0,20,60,1024,1024,32,32,1.0,0.5,E:\track.trk
1114,Mid-wave Infarared - MWIR,0,20,60,1024,1024,32,32,1.0,0.5,E:\track.trk
1115,Mid-wave Infarared - MWIR,0,20,60,1024,1024,32,32,1.0,0.5,E:\track.trk
1116,Mid-wave Infarared - MWIR,0,20,60,1024,1024,32,32,1.0,0.5,E:\track.trk
1117,Mid-wave Infarared - MWIR,0,20,60,1024,1024,32,32,0.0,1.0,E:\track.trk
1118,Mid-wave Infarared - MWIR,0,20,60,1024,1024,32,32,0.0,1.0,E:\track.trk
1119,Mid-wave Infarared - MWIR,0,20,60,1024,1024,32,32,0.0,1.0,E:\track.trk
1120,Mid-wave Infarared - MWIR,0,20,60,1024,1024,32,32,0.0,1.0,E:\track.trk
1121,Mid-wave Infarared - MWIR,0,20,60,1024,1024,32,32,0.0,1.0,E:\track.trk
1122,Mid-wave Infarared - MWIR,0,20,60,1024,1024,32,32,0.0,1.0,E:\track.trk
